Base Malt,Hop,Yeast,Adjunct,Specialty Malt
Amber Malt Extract,Amarillo,"Abbey Ale (WLP540, EY1762, BE-256)","Abstrax terpenes (any variety of Quantum, Omni, or BrewGas)",Aromatic
American (or North American) Pilsner,Motueka,"Alt (WLP023, WY1007, G02)",Lime Peel/Juice,Coffee Malt
American (or North American) Vienna,Ariana,"American Ale (WLP001 [liquid or dry], WY1056, US-05, A07)",Abstrax SkyFarm fruit flavors (any),"Barley, Flaked"
Belgian Pale,Nectaron,"Belgian Ale (WLP570, WY1388)",Lyle's Golden Syrup (Invert Sugar),"Corn, Flaked"
Belgian Pilsner,Azacca,"Belgian Ardennes (WY3522, B45)",Apricots,"Barley, Raw"
Dark Malt Extract,Nelson Sauvin,"Conan (WLP095, OYL-052, A04, LalBrew New England [Dry])",Mango,"Corn, Grits"
English Pale Ale,BRU-1,"Czech Lager (WLP802, WY2001, L28)",Blackberries,"Barley, Roasted"
Extra Light/Pils Malt Extract,Perle,"Dry English Ale (WLP007, WY1098, A10)",Maple Syrup,"Extract, Extra Dark"
Floor Malted Pilsner,Calista,"East Coast Ale (WLP008, A15)",Blueberries,"Barley, Torrefied"
German Pale Ale,Progress,"English Ale (WLP002, WY1968, S-04, A09)",Milk Sugar (Lactose),"Extract, Rye"
German Pilsner,Cascade,"Farmhouse (WY3726, OYL-217, Dry)",Brewer's Crystals,Biscuit Malt
German Vienna,Rakau,"German Ale (WY1007, G02)",Molasses,"Extract, Sorghum"
Golden Malt Extract,Centennial,"German Lager (WLP830, WY2124, L13, 34/70)",Brown Sugar,Black Malt
Golden Promise,Riwaka,"Hefewiezen (WLP300, WY3068, G01)",Mushrooms,Honey Malt
Light Malt Extract,Challenger,"Hornindal Kveik (WLP521, OYL-091)","Candi Sugar, Amber",Blackprinze Malt
Maris Otter,Saaz,"Kolsch (WLP029, WY2565, G03, K-97)",Nectarines,Brown Malt
"Munich, Dark",Citra,"London III (WLP013, A38, WY1318)","Candi Sugar, Clear",Melanoiden Malt
Munich Malt Extract,Sabro,"Lutra Kveik (OYL-071, OYL-071DRY)",Oak,Buckwheat
"Munich, Light",Columbus/Tomahawk/Zeus,"Mexican Lager (WLP940, OYL-113, L09)","Candi Sugar, Dark",Millet
Pale Malt Extract,Saphir,"Munich Lager (WLP838, WY2308, Dry)","Orange Peel, Bitter",Carafa I
Pale Malt (2 Row),East Kent Goldings,NovaLager (Lalbrew Y055) (Dry),Cane (or Beet) Sugar,"Oats, Flaked"
Pale Malt (6 Row),Simcoe,Pomona (Lalbrew Y067) (Dry),"Orange Peel, Sweet",Carafa II
Red X,El Dorado,Philly Sour or Sourvisiae (Dry),Cherries,"Oats, Golden Naked"
Wheat Malt Extract,Sorachi Ace,"Saison (WLP565, WY3724)",Passion Fruit,Carafa III
White Wheat,Ella,"San Fran Lager (WLP810, L05, WY2112)",Chili Peppers,"Oats, Malted"
,Strata,"Scottish Ale (WLP028, WY1728, A31)",Peaches,Carafoam
,Fuggle,"Trappist Ale (WLP500, WY1214, B48)",Cocoa Nibs/Beans,Pale Chocolate Malt
,Strisselspalt,Verdant IPA (Dry),Pineapple,Carahell
,Galaxy,"Voss Kveik (A43, OYL-061, Dry)",Coconut,Peat Smoked Malt
,Styrian Goldings,Saflager SH-45 (Thiol Enhancing Dry Lager Yeast),Raspberries,Caramel/Crystal Malt - 10L
,Hallertau Mittelfrueh,"Belgian Witbier (WLP400, WY3944, Imperial B44, LalBrew Wit)",Coffee (Liquid or Beans),Quinoa
,Tettnang / Tettnanger,"Irish Ale (WLP004, WY1084, Imperial A44)","Rice Syrup (added ""syrup"" to differentiate from flaked rice in specialty malts)",Caramel/Crystal Malt - 20L
,Hallertau Tradition,,Corn Sugar (Dextrose),"Rice, Flaked"
,Topaz,,Truffles,Caramel/Crystal Malt - 30L
,Idaho 7,,Coriander,Rye Malt
,Triumph,,Turbinado Sugar,Caramel/Crystal Malt - 40L
,Krush (HBC 586),,Demerara Sugar,"Rye, Flaked"
,Kohatu,,Vanilla (extract or bean),Caramel/Crystal Malt - 60L
,Lemondrop,,Dragon Fruit,Smoked Malt
,Liberty,,Watermelon,Caramel/Crystal Malt - 80L
,Loral,,Grains of Paradise,Special B
,Lotus,,Grapefruit Peel,Caramel/Crystal Malt -120L
,Magnum,,Guava,Special Roast
,Mosaic,,Honey,Caramunich I
,Chinook,,Juniper,Spelt Malt
,Willamette,,Lemon Peel/Juice,Caramunich II
,Nugget,,Licorice,Toasted Malt
,Northern Brewer,,Cinnamon,Carapils/Dextrine/Carafoam
,Cluster,,Cranberries,Victory
,Mt Hood,,Ginger,Carared
,Warrior,,Pumpkin,"Wheat, Flaked"
,,,,Caravienne
,,,,"Wheat, Red"
,,,,Chit Malt
,,,,"Wheat, Roasted"
,,,,Chocolate Malt
,,,,"Wheat, Torrified"
,,,,Cookie Malt (Viking Malt)
