,Amarillo,Ariana,Azacca,BRU-1,Calista,Cascade,Centennial,Challenger,Citra,Columbus/Tomahawk/Zeus,East Kent Goldings,El Dorado,Ella,Fuggle,Galaxy,Hallertau Mittelfrueh,Hallertau Tradition,Idaho 7,Kohatu,Krush (HBC 586),Lemondrop,Liberty,Loral,Lotus,Magnum,Mosaic,Motueka,Nectaron,Nelson Sauvin,Perle,Progress,Rakau,Riwaka,Saaz,Sabro,Saphir,Simcoe,Sorachi Ace,Strata,Strisselspalt,Styrian Goldings,Tettnang / Tettnanger,Topaz,Triumph,Chinook,Cluster,Mt Hood,Northern Brewer,Nugget,Warrior,Willamette
El Dorado,0.126,0.000,0.345,0.595,0.233,0.000,0.000,0.000,0.262,0.000,0.000,1.000,0.201,0.000,0.511,0.000,0.000,0.370,0.003,0.563,0.000,0.000,0.000,0.090,0.000,0.098,0.000,0.457,0.154,0.000,0.000,0.457,0.000,0.000,0.251,0.000,0.117,0.000,0.136,0.000,0.000,0.000,0.379,0.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ella,0.318,0.165,0.407,0.532,0.000,0.150,0.079,0.345,0.174,0.000,0.287,0.201,1.000,0.000,0.351,0.390,0.342,0.359,0.060,0.249,0.000,0.420,0.587,0.130,0.029,0.268,0.123,0.220,0.225,0.591,0.146,0.093,0.000,0.236,0.170,0.259,0.158,0.000,0.181,0.268,0.294,0.434,0.352,0.245,0.100,0.236,0.457,0.032,0.200,0.000,0.052
Fuggle,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.420,0.000,0.000,0.576,0.000,0.000,1.000,0.000,0.391,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.752,0.000,0.000,0.415,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.260,0.000,0.000,0.000,0.217,0.311,0.360,0.000,0.000,0.815
Galaxy,0.659,0.240,0.798,0.905,0.410,0.087,0.155,0.000,0.836,0.000,0.000,0.511,0.351,0.000,1.000,0.000,0.000,0.689,0.530,0.826,0.000,0.000,0.005,0.577,0.000,0.365,0.633,0.847,0.291,0.000,0.000,0.599,0.612,0.000,0.596,0.000,0.353,0.206,0.416,0.000,0.000,0.000,0.319,0.890,0.093,0.000,0.000,0.000,0.000,0.012,0.000
Hallertau Mittelfrueh,0.000,0.000,0.000,0.000,0.000,0.095,0.000,0.408,0.000,0.000,0.810,0.000,0.390,0.391,0.000,1.000,0.882,0.000,0.000,0.000,0.182,0.800,0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.760,0.497,0.000,0.000,0.685,0.000,0.644,0.000,0.000,0.000,0.796,0.754,0.959,0.000,0.000,0.000,0.229,0.890,0.002,0.000,0.000,0.604
Hallertau Tradition,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.565,0.000,0.000,0.705,0.000,0.342,0.370,0.000,0.882,1.000,0.000,0.000,0.000,0.260,0.595,0.393,0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.648,0.000,0.000,0.730,0.000,0.518,0.000,0.000,0.000,0.668,0.636,0.843,0.000,0.000,0.000,0.331,0.862,0.247,0.339,0.000,0.502
Idaho 7,0.548,0.296,0.803,0.700,0.185,0.034,0.240,0.000,0.582,0.396,0.000,0.370,0.359,0.000,0.689,0.000,0.000,1.000,0.725,0.619,0.000,0.000,0.004,0.370,0.000,0.623,0.477,0.607,0.260,0.000,0.000,0.671,0.406,0.000,0.399,0.000,0.784,0.132,0.558,0.000,0.000,0.000,0.603,0.673,0.522,0.000,0.000,0.000,0.097,0.056,0.000
Kohatu,0.677,0.335,0.782,0.390,0.000,0.390,0.547,0.000,0.580,0.172,0.000,0.003,0.060,0.000,0.530,0.000,0.000,0.725,1.000,0.502,0.068,0.000,0.000,0.435,0.000,0.514,0.682,0.372,0.093,0.000,0.000,0.392,0.632,0.000,0.312,0.000,0.716,0.176,0.247,0.000,0.000,0.000,0.383,0.468,0.562,0.000,0.000,0.000,0.000,0.000,0.000
Krush (HBC 586),0.605,0.341,0.795,0.764,0.313,0.066,0.124,0.000,0.933,0.000,0.000,0.563,0.249,0.000,0.826,0.000,0.000,0.619,0.502,1.000,0.140,0.000,0.000,0.707,0.000,0.360,0.620,0.838,0.219,0.000,0.000,0.341,0.780,0.000,0.518,0.000,0.326,0.168,0.411,0.000,0.000,0.000,0.294,0.736,0.040,0.000,0.000,0.000,0.000,0.008,0.000
Lemondrop,0.406,0.406,0.059,0.000,0.000,0.517,0.453,0.177,0.315,0.000,0.107,0.000,0.000,0.000,0.000,0.182,0.260,0.000,0.068,0.140,1.000,0.311,0.401,0.334,0.000,0.000,0.518,0.000,0.000,0.128,0.079,0.000,0.304,0.000,0.000,0.535,0.000,0.604,0.000,0.456,0.000,0.117,0.000,0.284,0.203,0.000,0.178,0.000,0.000,0.000,0.000
Liberty,0.211,0.087,0.000,0.000,0.000,0.505,0.246,0.341,0.000,0.000,0.624,0.000,0.420,0.000,0.000,0.800,0.595,0.000,0.000,0.000,0.311,1.000,0.780,0.000,0.000,0.000,0.000,0.000,0.000,0.590,0.061,0.000,0.000,0.471,0.000,0.858,0.000,0.000,0.000,0.861,0.608,0.837,0.000,0.000,0.000,0.140,0.789,0.000,0.000,0.000,0.326
Loral,0.497,0.243,0.085,0.069,0.000,0.737,0.561,0.458,0.046,0.157,0.417,0.000,0.587,0.000,0.005,0.534,0.393,0.004,0.000,0.000,0.401,0.780,1.000,0.108,0.013,0.025,0.182,0.000,0.000,0.610,0.126,0.000,0.000,0.247,0.015,0.728,0.000,0.293,0.000,0.628,0.380,0.574,0.000,0.122,0.318,0.243,0.555,0.000,0.042,0.000,0.158
Lotus,0.540,0.552,0.692,0.460,0.000,0.271,0.330,0.000,0.790,0.000,0.000,0.090,0.130,0.000,0.577,0.000,0.000,0.370,0.435,0.707,0.334,0.000,0.108,1.000,0.052,0.214,0.624,0.457,0.079,0.000,0.000,0.000,0.670,0.000,0.814,0.013,0.252,0.652,0.258,0.000,0.000,0.000,0.114,0.517,0.203,0.000,0.000,0.000,0.000,0.139,0.000
Magnum,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.137,0.000,0.203,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.052,1.000,0.000,0.000,0.000,0.000,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.101,0.000,0.023,0.062,0.000,0.002,0.586,0.870,0.000
